,Subject,Content
57,Speech draft for Friday at CSIS,Madam Secretary here is our latest draft of s speech It s long about minutes in this version but if you re comfortable with the general direction we ll streamline it Thanks Dan U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER SECRETARY OF STATE HILLARY RODHAM CLINTON REMARKS ON THE MAGHREB IN TRANSITION AT THE CENTER FOR STRATEGIC AND INTERNATIONAL STUDIES WASHINGTON DC OCMBER B U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB B U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER B U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER B U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER B U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER B U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER B U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER B U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER B U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER B U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER B U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER B U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB
58,Question and update,do you approve the War Powers Act action memo The King of Morocco has not gotten back to us with a time but ops will try again when its a reasonable hour for the Moroccans Attorney General Holder has requested to speak with you regarding the Department of Justice s Libya investigation He is standing by Would you like to take this tonight U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE SCB
59,Speech draft for Friday at CSIS,Attachment HRC CSIS v docx Sorry we were a couple hours late
60,Re: Question and update,I approved Will it be picked up call w King should be scheduled so keep working w I will speak to Holder Does he need to speak secure I can do either
61,Re: Speech draft for Friday at CSIS,We will send a printed copy to you with the book tonight Should be there shortly
62,Fw: Update (important),Importance High may have sent but In case not
63,Re: PDB,Yes II give memo to Service downstairs What about Holder And the King
64,Re: Speech draft for Friday at CSIS,Survive yes Pat helped level set things tonight and we ll see where we are in the morning
65,Re: PDS,Thank you We are offering pm to Holder and waiting to hear if he would like to speak secure We likely won t hear from the King for several hours but will keep you posted as soon as we do
66,RE: Langley Transcript,Hrc Tom she moved that yellow chair as close as it went Knee to knee Amazed she didn t try knee in between knee And if that wasn t enough she leaned forward More like a pivot as far as her torso could fold forward to minimize the space between their heads Was like the dental hygienist rolling around the floor to get the best access to your mouth depending on what tooth she was trying to get access to I ve never seen a Westerner invade her space like that And even the non Westerners I ve seen do it based on cultural differences have been only briefly to greet This went on like that for minutes unacceptable in any culture I don t even think you see that behavior among any type of mammal The touching the leg and repeatedly calling her Hillary was just gravy But it was wonderful One of the best interviews I ve ever witnessed Wish it were on live tv
67,Re: PDB,He can speak at pm He said that it does not have to be secure Ops will connect to your residence
68,Fw: McCain update,
69,Fw: McCain update,What is Donna s it
70,RE: Ending of speech,One other flag Other than that we ve just been tightening and trimming I ll send an updated draft to your office first thing in the morning Dan
71,Re: Holder,Ok Thx Also are you in DC
72,Fw: update,
73,Re: Ending of speech,Ok I ll read the whole thing Can you email it to me
74,Fw: HRC @ CSIS - v8,Here you go
75,FW: Update on Benghazi -- 4/26 7am,FIRM Fogarty Sent AM To D StIlin i Web Ake G Cc S SpeeletAardstants Subject Update On Benghazi arn All Ops has provided below the latest update on Benghazi Traffkaccidenti Police have accepted the USG version of the story that it was an accident and the victims were not wearing seathelts The USG employees were returning from the airport when the incident occurred A total of four people died and six injured USG employee Mjuries are light if any Our people are standing by pending official USG instructions notes there is a UK flight tomorrow they could be on if necessary The TNC wants to do a press release to quell the rumor mill will send the draft back to Department for L and PA clearance The British envoy departs tomorrow on permanent change of station There will be a gap before his replacement Jenkins arrives from INC head Malunoud fibril will be going to Jordan and will not be back in Benghazi until The development is likely to he met with additional criticism that he is spending too much time abroad at the expense of other government affairs Thanks Dan U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE SCB
76,RE: Ending of speech,Here is a new version with the alternative ending and our other edits Dan
77,Re: Holder,No I m sorry I m actually in Florida for the weekend
78,FW: Envoy report from Benghazi 4/26 1200 (SBU),Here are more details on the overnight traffic accident
79,Re: Holder,Ok
80,Re: Holder,Is Dan coming at
81,Re: Question and update,His office called and said that he is available now Do you want to take it this morning
82,Re: King of Morocco,I can do it right now
83,Re: King of Morocco,I can do it right now
84,"H: UBL, AQ & Libya. Sid",H hrod chntonemail com AM JilotyLC state gov Fw H UBL AQ Libya Sid hrc memo bin laden aq t libya doot Pis print From B Sent AM To H Subject H UBL AQ Libya Sid For Hillary
85,FVV: Q re HbJ,FYI
